date,ouv,haut,bas,clot,vol
28/08/2006,28.16,28.16,28.16,28.16,1
29/08/2006,28.16,28.16,28.16,28.16,0
30/08/2006,29.09,29.09,29.09,29.09,1
31/08/2006,29,29.24,28.97,29.24,397410
01/09/2006,28.77,28.89,28.77,28.82,326216
04/09/2006,28.91,28.91,28.84,28.84,2
05/09/2006,28.61,28.61,28.59,28.59,2
06/09/2006,28.52,28.52,28.52,28.52,60
07/09/2006,27.84,27.84,27.84,27.84,1
08/09/2006,27.81,28,27.81,28,2
11/09/2006,27.88,27.88,27.88,27.88,1
12/09/2006,28.65,28.68,28.65,28.68,27001
13/09/2006,28.95,28.95,28.95,28.95,1
14/09/2006,29.18,29.18,28.66,28.66,273
15/09/2006,28.79,28.79,28.79,28.79,1
18/09/2006,28.56,28.56,28.56,28.56,1
19/09/2006,28.34,28.34,28.34,28.34,1
20/09/2006,28.58,28.8,28.58,28.8,385
21/09/2006,28.95,28.95,28.95,28.95,1
22/09/2006,28.71,28.71,28.58,28.58,373
25/09/2006,28.49,28.49,28.49,28.49,1
26/09/2006,29.02,29.02,29.02,29.02,1
27/09/2006,29.2,29.2,29.1,29.18,4061
28/09/2006,29.29,29.29,29.29,29.29,1
29/09/2006,29.25,29.25,29.25,29.25,1
02/10/2006,29.11,29.13,29.11,29.13,405
03/10/2006,28.64,28.68,28.64,28.68,2
04/10/2006,28.96,28.96,28.96,28.96,1
05/10/2006,29.25,29.46,29.18,29.18,52214
06/10/2006,29.29,29.29,29.23,29.23,2
09/10/2006,29.22,29.22,29.22,29.22,1
10/10/2006,29.57,29.62,29.57,29.62,151
12/10/2006,30.18,30.18,30.18,30.18,1
13/10/2006,30.36,30.4,30.36,30.4,713
16/10/2006,30.34,30.39,30.34,30.39,101
17/10/2006,29.92,29.92,29.92,29.92,1
18/10/2006,30.16,30.16,29.94,29.94,171
19/10/2006,29.8,29.8,29.6,29.64,551675
20/10/2006,29.74,29.74,29.74,29.74,1
23/10/2006,29.82,29.95,29.82,29.95,58
24/10/2006,29.8,29.92,29.8,29.92,41067
25/10/2006,29.79,29.79,29.79,29.79,1
26/10/2006,30.01,30.01,29.86,29.86,2086
27/10/2006,29.94,29.94,29.8,29.8,68
30/10/2006,29.6,29.6,29.6,29.6,1
01/11/2006,29.87,29.87,29.87,29.87,100
02/11/2006,29.48,29.48,29.48,29.48,1
03/11/2006,29.43,29.43,29.43,29.43,1
06/11/2006,29.78,29.78,29.78,29.78,1
07/11/2006,30.18,30.18,30.18,30.18,1
08/11/2006,30.07,30.07,29.98,30.05,48721
09/11/2006,30.18,30.18,30.18,30.18,1
10/11/2006,29.86,29.86,29.82,29.82,236
13/11/2006,30.04,30.08,30.04,30.08,2
14/11/2006,30.24,30.24,30.08,30.08,41
16/11/2006,30.67,30.67,30.67,30.67,1
17/11/2006,30.68,30.68,30.5,30.5,665
21/11/2006,30.9,30.9,30.9,30.9,2000
22/11/2006,31.21,31.28,31.07,31.07,27312
24/11/2006,30.61,30.61,30.61,30.61,1
27/11/2006,30.06,30.06,30.03,30.03,201
28/11/2006,29.88,29.88,29.6,29.64,711
29/11/2006,29.81,30.01,29.81,30.01,126
01/12/2006,29.87,29.87,29.6,29.6,117
04/12/2006,29.66,29.66,29.66,29.66,1
05/12/2006,29.86,29.86,29.86,29.86,1
06/12/2006,29.79,29.79,29.79,29.79,1
07/12/2006,30.18,30.18,30.15,30.15,51
08/12/2006,30.04,30.04,30.04,30.04,1
11/12/2006,30.34,30.34,30.34,30.34,1
12/12/2006,30.38,30.38,30.33,30.33,655
13/12/2006,30.47,30.5,30.47,30.5,21
14/12/2006,30.38,30.5,30.38,30.5,66
15/12/2006,30.71,30.71,30.71,30.71,1
19/12/2006,30.56,30.56,30.56,30.56,49
20/12/2006,30.69,30.69,30.65,30.65,161
21/12/2006,30.63,30.63,30.63,30.63,75
28/12/2006,30.92,30.92,30.81,30.81,20101
29/12/2006,30.96,30.96,30.84,30.85,52
02/01/2007,30.98,31.22,30.98,31.22,71
03/01/2007,31.18,31.53,31.14,31.53,20003
04/01/2007,31.3,31.43,31.3,31.43,840
05/01/2007,31.1,31.11,31.05,31.05,7002
08/01/2007,31.16,31.34,31.16,31.19,356
09/01/2007,31.41,31.46,31.3,31.3,24020
10/01/2007,30.9,30.91,30.8,30.8,79312
11/01/2007,31.22,31.5,31.03,31.5,30001
12/01/2007,30.89,30.99,30.89,30.99,10001
15/01/2007,31.23,31.23,31.22,31.22,1260
16/01/2007,31.62,31.64,31.42,31.42,221918
17/01/2007,31.34,31.38,31.34,31.38,10002
18/01/2007,31.39,31.39,30.95,30.95,101
19/01/2007,30.75,30.96,30.75,30.96,10002
22/01/2007,31.12,31.12,30.68,30.68,4099
23/01/2007,30.67,30.67,30.06,30.06,14215
24/01/2007,30.1,30.35,30.1,30.32,196
25/01/2007,31.14,31.14,31.14,31.14,1000
26/01/2007,30.96,30.96,30.93,30.93,76
29/01/2007,30.96,30.96,30.89,30.89,11
30/01/2007,30.8,31.06,30.8,31.06,134
31/01/2007,30.95,30.95,30.75,30.75,19
01/02/2007,31.05,31.06,30.92,30.92,173
02/02/2007,30.46,30.52,30.37,30.52,134
05/02/2007,30.7,30.71,30.7,30.71,36
06/02/2007,30.77,30.88,30.56,30.56,10061
07/02/2007,30.6,30.84,30.6,30.84,226
08/02/2007,30.61,30.79,30.61,30.79,201
09/02/2007,31.06,31.06,30.72,30.72,431
12/02/2007,30.63,30.63,30.63,30.63,275
13/02/2007,30.49,30.49,30.49,30.49,0
15/02/2007,31.02,31.07,31.02,31.04,4991
19/02/2007,31.18,31.18,31.18,31.18,2501
20/02/2007,30.97,30.97,30.97,30.97,1
21/02/2007,30.79,30.86,30.79,30.86,52
22/02/2007,30.8,30.8,30.77,30.77,33
23/02/2007,30.88,30.96,30.83,30.96,7560
26/02/2007,30.95,30.95,30.93,30.93,41
27/02/2007,30.45,30.45,30.07,30.07,21
28/02/2007,29.83,29.83,29.73,29.73,20060
01/03/2007,28.79,29.45,28.79,29.45,613
02/03/2007,29.18,29.4,29.18,29.4,34
05/03/2007,28.77,29.18,28.74,29.18,727
06/03/2007,29.22,29.3,29.15,29.15,140850
07/03/2007,29.25,29.25,29.19,29.19,41
12/03/2007,29.67,29.67,29.67,29.67,1
13/03/2007,29.5,29.5,29.42,29.42,336
14/03/2007,28.87,28.87,28.87,28.87,86
15/03/2007,29.31,29.31,29.15,29.15,43
